move,көшу
hostage,аманат
collector,жинаушы
popularity,Әйгілі
alien,бөтен
scary,қорқынышты
equation,теңдеу
angel,періште
switch,қосқыш
offering,тартулары
rage,ашу
photography,фотосурет
repair,жөндеу
disappointed,көңілі қалған
precious,қымбат бағалы
prohibit,тыйым салу
representative,өкіл
content,мазмұны
realistic,шынайы
hidden,жасырын
command,бұйрық
tender,нәзік
wake,ояту
gathering,жиналыс
outstanding,көрнекті
stumble,мүдіру
lonely,жалғыз
automobile,автомобиль
artificial,жасанды
dawn,таңсәрі
abstract,дерексіз
silly,ақымақ
hook,ілгек
tide,судың көтерілуі
shared,ортақ
hopefully,үмітпен
readily,оңай
cooperate,ынтымақтасу
romance,романтика
hardware,аппараттық
pillow,жастық
kit,жинағы
cook,аспаз
spread,тарату
continent,құрылық
seal,мөр
circuit,тұйықталу
sink,бату
shortage,жетіспеушілік
annually,жыл сайын
lately,соңғы уақытта
trap,тұзақ
scan,сканерлеу
fool,ақымақ
deadline,мерзімі
rear,артқы
processing,өңдеу
coastal,жағалау
undertake,әрекет қылу
softly,жұмсақ
burning,жағу
verbal,ауызша
tribal,асыл тұқымды
ridiculous,күлкілі
automatic,автоматтық
diamond,алмас
credibility,ақиқатқа жақын
import,импорт
spring,көктем
way,жол
divine,діни
sentiment,сезім
cart,арба
oversee,қадағалау
stem,сабақ
elder,үлкен
inspiration,шабыт
quantity,сан
trailer,тіркеме
mate,дос
genius,данышпан
monument,ескерткіш
bid,ұсыныс
quest,іздену
sacrifice,құрбан ету
invitation,шақыру
accuracy,дәлдік
officially,ресми
broker,делдал
treasure,қазына
loyalty,сенімділік
credit,несие
shock,шок
talented,дарынды
gasoline,бензин
stiff,қатты
output,қорытынды
extended,кеңейтілген
please,өтінемін
diabetes,диабет
slap,шапалақтау
toxic,уытты
alleged,болжамды
jaw,жақ
grief,қайғы
mysterious,сырлы
rocket,зымыран
donate,сыйлау
inmate,тұтқын
tackle,шешу
bow,садақ
ours,біздікі
senior,үлкен
dignity,абырой
carpet,кілем
parental,ата-ана
bubble,көпіршік
heat,ыстық
buddy,Досына
barn,қамба
sword,семсер
flash,жарқыл
glory,даңқ
tightly,тығыз
protective,қорғаушы
drum,барабан
faint,құқыл
post,кейінгі
queen,ханым
dilemma,дилемма
input,енгізу
specialize,мамандану
shallow,таяз
liability,жауапкершілік
sail,жүзу
merchant,көпес
stadium,стадион
improved,жақсартылған
bloody,қанды
defeat,жеңіліс
associated,байланысты
withdrawal,алып қою
refrigerator,тоңазытқыш
nest,ұя
near,жақын
thoroughly,мұқият
lane,тар жол
ancestor,арғы ата
condemn,кінәлау
steam,бу
accent,екпін
escape,қашу
unite,бірлестіру
cage,қапас
equip,жабдықтау
shrimp,асшаян
homeland,отаны
exchange,айырбастау
rack,тартпа
costume,костюм
wolf,қасқыр
courtroom,сот залы
statute,жарғы
cartoon,мультфильм
besides,одан басқа
productivity,өнімділік
grin,мысқылдау
symbolic,рәміздік
seal,мөр
bug,қате
bless,бата беру
aunt,тәте
agriculture,Ауыл шаруашылығы
rock,рок
hostile,жау
root,түбір
conceive,ойлау
combined,аралас
instantly,дереу
vaccine,вакцина
bonus,сыйақы
collaboration,бірлесіп жұмыс істеу
mixed,аралас
opposed,қарсы
grasp,мықтап ұстау
patience,төзім
spite,қарамастан
voting,дауыс беру
patrol,күзет
willingness,әзірлік
position,лауазым
revelation,ашу
rent,жалға алу
calm,байсалды
jewelry,зергерлік
haul,созу
concede,көну
trace,ізі
afterward,содан кейін
spectacular,әсерлі
ruin,күйреген
sheer,мөлдір
prior,бұрынғы
reliability,сенімділік
alongside,қатар
bush,бұта
fascinating,сүйкімді
secure,қауіпсіз
clip,клип
thigh,жамбас
bull,бұқа
regard,қатысты
sheep,қой
discourage,есін шығару
coordinator,үйлестірушісі
secular,зайырлы
intimate,жақын
empire,империя
cab,такси
divorce,ажырасу
exam,емтихан
documentary,деректі
neutral,бейтарап
flexible,икемді
conspiracy,астыртын әрекет
catch,ұстап алу
casualty,жаралы
execution,орындау
terrific,сұмдық
whale,кит
star,жұлдыз
teammate,командалас
aluminum,алюминий
whoever,кім болмасын
verdict,үкім
instruct,нұсқау беру
skull,бас сүйек
self-esteem,өзін-өзі бағалау
ease,жеңілдік
manipulate,айлалы
bee,ара
loop,цикл
edit,редакциялау
whip,қамшы
puzzle,жұмбақ
mushroom,саңырауқұлақ
boil,қайнату
tragic,қайғылы
jar,банка
respect,құрмет
earthquake,жер сілкінісі
pork,шошқа еті
creativity,шығармашылық
safely,қауіпсіз
sympathy,жаны ашу
fisherman,балықшы
incredibly,керемет
isolation,оқшаулау
sock,кию
near,жақын
jump,секіру
entrepreneur,кәсіпкер
seat,орын
workplace,жұмыс орны
ambition,арман
utilize,пайдалану
breeze,самал
costly,қымбат
ambitious,өршіл
presumably,болжам
influential,ықпалды
translation,аударма
uncertain,сенімсіз
dissolve,еру
object,зат
gut,ішек
metropolitan,елордалық
rolling,жылжымалы
spell,үшкіру
insert,қондыру
booth,стенд
helmet,дулыға
waist,бел
expected,болжалды
lion,арыстан
accomplishment,аяқтау
royal,корольдық
panic,үрей
cast,бросать
crush,жангу
actively,белсенді
cliff,құз
cord,бау
fortunately,бақытына қарай
illusion,иллюзия
tolerate,шыдау
appreciation,ризашылық
harm,зиян
flexibility,икемділік
scramble,күрес
tumor,ісік
decorate,безендіру
sort,сорт
charge,төлем
pulse,импульстік
equivalent,тең
fixed,тұрақты
experienced,тәжірибелі
donation,қайырымдылық
diary,күнделік
sibling,туыс
irony,ирония
spoon,қасық
upset,ренішті
interact,өзара іс-қимыл
soap,сабын
cute,сүйкімді
rival,бақталас
short-term,қысқа мерзімді
punch,соққы
pin,түйреуіш
passing,өту
persist,тайсалмау
supplier,жеткізуші
known,белгілі
momentum,импульс
purse,әмиян
shed,сарай
liquid,сұйық
icon,белгішесі
elephant,піл
consequently,демек
legislature,заң шығарушы мекеме
associate,әріптес
franchise,франшиза
correctly,дұрыс
mentally,психикалық
bicycle,велосипед
encouraging,жігерлендірерлік
cheat,арамдық жасау
access,қол
heal,емдеу
fever,безгек
filter,фильтр
rabbit,қоян
coin,монета
exploit,пайдалануға
accessible,қол жетерлік
organism,ағза
sensation,таң қаларлық оқиға
partially,ішінара
stay,қалу
dried,кептірілген
conservation,сақтау
shove,итеру
backyard,аула
charter,жалдау
stove,пеш
consent,келісім
comprise,құрайды
reminder,еске салғыш
alike,ұқсас
placement,орналастыру
dough,қамыр
grandchild,немере
dam,бөгет
surrounding,қоршаған
ecological,экологиялық
outfit,киім
unprecedented,бұрын-соңды болмаған
columnist,шолушы
workout,машықтану
preliminary,алдын-ала
patent,патент
shy,ұялшақ
quote,цитата
trash,қоқыс
gross,жалпы
counter,қарсы
pencil,қарындаш
associate,әріптес
frontier,шекара
spray,бүрку
disclose,ашу
custody,қорғаншылық
beast,жануар
interfere,араласу
oak,емен
case,жағдай
notebook,дәптер
outline,құрылым
gaze,көзқарас
attendance,бару
speculation,саудагерлік
uncover,ашу
innovative,жаңашыл
shark,акула
reward,сыйақы
mill,диірмен
installation,орнату
stimulate,ынталандыру
vertical,тік
swimming,жүзу
fleet,флот
outsider,бөтен
sacrifice,құрбан ету
stance,позиция
compel,мәжбүрлеу
sensitivity,сезімталдық
instant,лезде
proclaim,жариялау
worldwide,бүкіл әлемдiк
hike,жорық
required,қажет
colorful,түсті
ideal,тамаша
trainer,жаттықтырушы
scent,хош иіс
stack,үйме
eyebrow,қас
sack,қап
cease,тоқтату
inherit,мұра
tray,науа
textbook,оқулық
nasty,жағымсыз
shrink,отыру
emerging,дамушы
dot,нүкте
wheat,бидай
fierce,қатал
envision,елестету
rational,дұрыс
kingdom,патшалық
aisle,қатар
weaken,әлсіреу
protocol,хаттама
unfair,әділетсіз
terrain,жер
deploy,жаю
risky,тәуекелді
pasta,макарон
genre,жанр
distract,алаңдату
merit,қызмет
planner,жоспарлаушы
chunk,тілім
closest,жақын
discount,жеңілдік
ladder,саты
jungle,джунгли
migration,көші-қон
breathing,тыныс алу
invade,басып кіру
hurricane,дауыл
retailer,бөлшек саудашы
classify,сыныптау
wound,жарақат
coup,төңкеріс
aid,көмек
ambassador,елші
density,тығыздық
supportive,қолдау
curiosity,қызығушылық
skip,өткізіп жіберу
stimulus,ынталандыру
flood,тасқын
dip,батыру
likewise,сияқты
informal,ресми емес
feather,қаламұш
sphere,сала
tighten,тарту
boast,мақтану
sole,табан
publicity,жарнама
unfold,жайылған
joke,әзіл-қалжың
validity,қолданылу
strictly,қатаң
partial,ішінара
collar,жаға
weed,арам шөп
streak,жолақ
supposedly,шамамен
added,қосылған
builder,құрылысшы
premise,алғышарты
specialty,мамандық
deem,санау
sneak,тасаланып бару
mentor,тәлімгер
listener,тыңдаушы
lightning,найзағай
legally,заңды
sleeve,жең
disappointment,көңіл қалу
disturb,мазалау
rib,қабырға
excessive,шектен тыс
high-tech,жоғары технология
debris,сынық
pile,бағана
ash,күл
socially,әлеуметтік
parish,приход
slavery,құлдық
blank,бос
commodity,тауар
cure,емдеу
hunger,аштық
developmental,даму
faster,тезірек
spare,қосалқы
halfway,жарты жолда
cure,емдеу
equality,теңдік
cemetery,зират
harassment,құдалау
deliberately,әдейі
fame,даңқ
regret,өкініш
striking,жарқын
likelihood,ықтималдығы
carrot,сәбіз
toll,жол салығы
rim,шеңбер
embarrassed,ыңғайсыз
cling,жабысу
isolated,оқшауланған
blink,жыпылықтау
suspicious,күдікті
wheelchair,мүгедек креслосы
squad,команда
eligible,құқығы бар
plunge,тап болу
sponsor,демеуші
grin,мысқылдау
color,түс
rain,жаңбыр
chill,салқындату
refuge,пана
steer,түзету
legislator,заң
rally,ралли
programming,бағдарламалау
cheer,дем беру
outlet,розетка
intact,тұтас
vendor,жеткізуші
thrive,гүлдену
peanut,жер жаңғағы
chew,шайнау
elaborate,әзірлеу
intellectual,зияткерлік
conception,түсінік
comply,орындау
shareholder,акционер
comparable,салыстырмалы
transport,көлік
conscience,ар
calculation,есептеу
considerably,елеулі
interval,аралық
scratch,тырнау
awake,ояу
inevitably,сөзсіз
constraint,шектеу
allegedly,секілді
compromise,ымыраға келу
strain,кернеу
similarity,ұқсастық
lid,қақпақ
dumb,мылқау
bulk,сусымалы
sprinkle,себу
mortality,өлім-жітім
conversion,түрлендіру
patron,қамқоршы
municipal,коммуналдық
any,кез келген
liver,бауыр
harmony,үйлесім
solely,тек қана
tolerance,төзімділік
instant,лезде
goat,ешкі
arm,қол
blessing,бата
banana,банан
running,жүгіру
palace,сарай
formerly,бұрын
peasant,шаруа
neat,ұқыпты
lawmaker,депутат
cruise,круиз
mobile,жылжымалы
plain,анық
part,бөлім
calendar,күнтізбе
widow,жесір әйел
deposit,салым
beard,сақал
brake,тежегіш
impulse,түрткі
forbid,тыйым салу
fur,мех
brutal,қатыгез
predator,жыртқыш
poke,келемеждеу
opt,бас тарту
voluntary,ерікті
trouble,қиыншылық
valid,заңды
dancing,би
happily,бақытты
soar,қалықтап
removal,жою
enact,қабылдау
round,дөңгелек
thread,жіп
light,жарық
landmark,бағдар
unhappy,бақытсыз
offender,қылмыскер
coming,алдағы
privately,жеке
distinctive,ерекше
tourism,туризм
threshold,табалдырық
calm,байсалды
routinely,әдетте
suite,люкс
remark,ескерту
regulator,реттеуші
straw,сабан
apart,бөлек
exhaust,бітіру
fragile,сынғыш
objection,қарсы болу
chemistry,химия
old-fashioned,ескірген
crowded,лық толған
circle,шеңбер
blast,жарылыс
prevail,басым
overnight,түнгі
denial,мойындамау
fantastic,ғажайып
level,деңгей
screw,винт
warmth,жылу
undergraduate,бакалавриат
liquid,сұйық
headache,бас ауру
projection,болжам
battle,шайқас
suitable,жарамды
mention,еске алу
graduation,бітіру
drill,бұрғылау
cruel,қатыгез
mansion,көп бөлмелі үлкен үй
regard,қатысты
grape,жүзім
authorize,рұқсат ету
driveway,үлкен жол
charm,әсерлілік
loyal,адал
clay,балшық
pound,қадақ
balloon,әуе шары
invention,өнертабыс
fare,жолақы
homework,үй жұмысы
sofa,диван
guarantee,кепілдік
availability,болуы
radar,радар
frown,тұнжырау
regain,қайта алу
leave,қалдыру
permit,рұқсат ету
sweater,свитер
rehabilitation,оңалту
rubber,резеңке
retreat,шегіну
freely,еркін
favorable,қолайлы
steadily,тұрақты
veteran,ардагер
integrated,кешенді
youngster,жасөспірім
broadcast,хабар
premium,сыйақы
accountability,есеп
overwhelm,қирату
contemplate,толғану
update,жаңарту
spark,ұшқын
fatigue,қажу
beyond,ар жағында
speculate,ойлану
low,төмен
preach,уағыздау
bucket,шелек
bomb,бомба
blond,аққұба
confession,мойындау
provoke,арандату
marble,мәрмәр
substantially,айтарлықтай
defender,қорғаушы
fish,балық
explicit,айқын
transport,көлік
disturbing,үрейлі
surveillance,қадағалау
mutter,мыңқылдау
devastating,жойқын
depart,кету
arrow,жебе
trauma,жарақат
neighbour,көрші
soak,сулау
ribbon,таспа
meantime,бұл арада
transmit,беру
screen,экран
harvest,егін
consecutive,қатарынан
coordinate,үйлестіру
within,ішінде
spy,шпион
slot,ұя
riot,бүлік
nutrient,қоректік
citizenship,азаматтық
severely,қатаң
sovereignty,егемендіr
ridge,жота
brave,ержүрек
lighting,жарықтандыру
specify,көрсетіңіз
contributor,салымшы
frustrate,жабығу
crowd,тобыр
dense,тығыз
sunny,бұлтты
shorts,шорт
swell,ісу
accusation,айыптау
soften,жұмсарту
straighten,түзету
terribly,өте жаман
sudden,кенет
bride,қалыңдық
biography,өмірбаян
hazard,қауіптілік
compelling,нанымды
seldom,сирек
tile,кафель
honestly,адал
bow,садақ
foreigner,шетелдік
launch,ұшыру
convenience,қолайлылық
delight,шаттыққа
weave,тоқу
timber,ағаш материалдар
till,дейін
accurately,дәл
plea,өтініш
bulb,шам
copy,көшірме
flying,ұшатын
sustainable,тұрақты
devil,шайтан
bolt,болт
cargo,жүк
spine,омыртқа
seller,сатушы
skilled,білікті
managing,басқару
public,қоғамдық
marine,теңіз
dock,док
organized,ұйымдастырылған
fog,тұман
diplomat,дипломат
boring,іш пыстыратын
sometime,кейде
summary,қысқаша мазмұндама
fatal,қауіпті
trim,әрлеу
warehouse,қойма
accelerate,жеделдету
butterfly,көбелек
bronze,қола
drown,бату
inherent,тән
praise,мақтау
nationwide,жалпыұлттық
spit,түкіру
harvest,егін
kneel,тізерлеу
selected,таңдалған
dictate,айтып жаздыру
laundry,кір
manual,басшылық
pistol,пистолет
naval,теңіз
plaintiff,талапкер
kid,бала
apology,кешірім
till,дейін
